               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  66,            0.054912,            0.012661,           0.0042405,           0.0057804,                   1,               0.398,              0.2388,            0.041817,           0.0097618,           0.0011933,           0.0067825,           0.0067825,           0.0067825
                  67,             0.06401,            0.012311,           0.0052769,            0.018057,                   1,             0.66333,             0.46433,            0.039912,            0.010128,           0.0011225,            0.006733,            0.006733,            0.006733
                  68,            0.055342,            0.013091,           0.0035777,            0.018057,                   1,             0.66333,             0.46433,            0.039912,            0.010128,           0.0011225,           0.0066835,           0.0066835,           0.0066835
                  69,             0.05653,            0.013811,            0.003419,             0.01145,                   1,               0.995,             0.39231,            0.036112,            0.010511,           0.0012827,            0.006634,            0.006634,            0.006634
                  70,            0.053102,            0.012213,           0.0035773,             0.01145,                   1,               0.995,             0.39231,            0.036112,            0.010511,           0.0012827,           0.0065845,           0.0065845,           0.0065845
                  71,            0.046224,            0.011464,           0.0036186,            0.013636,                   1,               0.995,              0.4975,            0.036172,            0.010254,           0.0011279,            0.006535,            0.006535,            0.006535
                  72,            0.048962,             0.01498,           0.0031803,            0.013636,                   1,               0.995,              0.4975,            0.036172,            0.010254,           0.0011279,           0.0064855,           0.0064855,           0.0064855
                  73,            0.045505,            0.015129,           0.0032467,            0.012704,                   1,              0.4975,               0.398,            0.036215,            0.010443,           0.0013032,            0.006436,            0.006436,            0.006436
                  74,            0.042891,            0.016642,           0.0034747,            0.012704,                   1,              0.4975,               0.398,            0.036215,            0.010443,           0.0013032,           0.0063865,           0.0063865,           0.0063865
                  75,            0.047749,            0.012113,           0.0033389,            0.024952,                   1,               0.995,             0.70876,            0.034342,           0.0098027,            0.001124,            0.006337,            0.006337,            0.006337
                  76,            0.038478,            0.013272,           0.0032618,            0.024952,                   1,               0.995,             0.70876,            0.034342,           0.0098027,            0.001124,           0.0062875,           0.0062875,           0.0062875
                  77,            0.042384,            0.013591,           0.0029367,            0.027048,                   1,               0.995,             0.30081,             0.04499,           0.0092484,           0.0012187,            0.006238,            0.006238,            0.006238
                  78,            0.050402,            0.009333,           0.0030698,            0.027048,                   1,               0.995,             0.30081,             0.04499,           0.0092484,           0.0012187,           0.0061885,           0.0061885,           0.0061885
                  79,            0.047158,            0.011974,            0.003673,            0.013505,                   1,               0.995,               0.796,            0.023158,            0.010516,           0.0012386,            0.006139,            0.006139,            0.006139
                  80,            0.045785,            0.011365,            0.003213,            0.013505,                   1,               0.995,               0.796,            0.023158,            0.010516,           0.0012386,           0.0060895,           0.0060895,           0.0060895
                  81,            0.046309,             0.01277,           0.0031764,            0.021317,                   1,               0.995,             0.49761,            0.033909,           0.0094573,           0.0012285,             0.00604,             0.00604,             0.00604
                  82,            0.038824,            0.011035,           0.0032498,            0.021317,                   1,               0.995,             0.49761,            0.033909,           0.0094573,           0.0012285,           0.0059905,           0.0059905,           0.0059905
                  83,            0.041232,            0.013733,           0.0036587,            0.024311,                   1,               0.995,              0.4975,            0.032409,           0.0089539,           0.0011584,            0.005941,            0.005941,            0.005941
                  84,            0.045379,            0.014804,           0.0029365,            0.024311,                   1,               0.995,              0.4975,            0.032409,           0.0089539,           0.0011584,           0.0058915,           0.0058915,           0.0058915
                  85,            0.045877,            0.010837,           0.0028182,            0.076557,                   1,               0.995,             0.29085,             0.03224,           0.0087769,           0.0012407,            0.005842,            0.005842,            0.005842
                  86,            0.049256,            0.010876,           0.0026738,            0.076557,                   1,               0.995,             0.29085,             0.03224,           0.0087769,           0.0012407,           0.0057925,           0.0057925,           0.0057925
                  87,            0.043778,            0.014432,           0.0027114,            0.082799,                   1,               0.995,               0.398,            0.040534,           0.0079572,           0.0011302,            0.005743,            0.005743,            0.005743
                  88,            0.051531,            0.012101,           0.0025521,            0.082799,                   1,               0.995,               0.398,            0.040534,           0.0079572,           0.0011302,           0.0056935,           0.0056935,           0.0056935
                  89,            0.049373,            0.012675,           0.0027442,            0.098242,                   1,               0.995,               0.796,            0.025224,            0.008906,           0.0012171,            0.005644,            0.005644,            0.005644
                  90,            0.032989,            0.014258,           0.0028899,            0.098242,                   1,               0.995,               0.796,            0.025224,            0.008906,           0.0012171,           0.0055945,           0.0055945,           0.0055945
                  91,            0.037713,            0.015186,           0.0028452,            0.029824,                   1,               0.995,             0.34141,            0.038021,           0.0078926,           0.0011586,            0.005545,            0.005545,            0.005545
                  92,             0.04333,           0.0099078,           0.0024423,            0.029824,                   1,               0.995,             0.34141,            0.038021,           0.0078926,           0.0011586,           0.0054955,           0.0054955,           0.0054955
                  93,            0.050453,            0.010992,           0.0025943,             0.16037,                   1,               0.995,              0.8955,            0.024651,           0.0082345,           0.0011678,            0.005446,            0.005446,            0.005446
                  94,            0.037094,            0.012902,           0.0028187,             0.16037,                   1,               0.995,              0.8955,            0.024651,           0.0082345,           0.0011678,           0.0053965,           0.0053965,           0.0053965
                  95,            0.034997,             0.01557,           0.0026927,             0.46217,                   1,               0.995,             0.43117,            0.036601,            0.007181,           0.0011128,            0.005347,            0.005347,            0.005347
                  96,             0.04028,             0.01096,           0.0022958,             0.46217,                   1,               0.995,             0.43117,            0.036601,            0.007181,           0.0011128,           0.0052975,           0.0052975,           0.0052975
                  97,             0.04357,            0.015093,           0.0025826,             0.81927,                   1,               0.995,               0.796,            0.021375,           0.0080227,           0.0011334,            0.005248,            0.005248,            0.005248
                  98,            0.030297,            0.012555,           0.0025341,             0.81927,                   1,               0.995,               0.796,            0.021375,           0.0080227,           0.0011334,           0.0051985,           0.0051985,           0.0051985
                  99,            0.031166,            0.012887,           0.0024264,             0.82166,                   1,               0.995,               0.597,            0.030706,           0.0069576,           0.0010807,            0.005149,            0.005149,            0.005149
                 100,            0.040758,           0.0096551,           0.0022198,             0.82166,                   1,               0.995,               0.597,            0.030706,           0.0069576,           0.0010807,           0.0050995,           0.0050995,           0.0050995
                 101,            0.035501,            0.015242,           0.0023373,             0.48737,                   1,               0.995,             0.80418,            0.024855,           0.0072918,           0.0011069,             0.00505,             0.00505,             0.00505
                 102,            0.030646,           0.0092521,           0.0021678,             0.48737,                   1,               0.995,             0.80418,            0.024855,           0.0072918,           0.0011069,           0.0050005,           0.0050005,           0.0050005
                 103,            0.032815,            0.011363,           0.0024886,             0.85201,                   1,               0.995,              0.8955,            0.027983,           0.0070323,           0.0010994,            0.004951,            0.004951,            0.004951
                 104,            0.029893,            0.012462,           0.0022298,             0.85201,                   1,               0.995,              0.8955,            0.027983,           0.0070323,           0.0010994,           0.0049015,           0.0049015,           0.0049015
                 105,            0.029347,            0.014339,           0.0024334,             0.82964,                   1,               0.995,               0.597,            0.023583,           0.0070347,           0.0010899,            0.004852,            0.004852,            0.004852
                 106,            0.030996,            0.010734,            0.002283,             0.82964,                   1,               0.995,               0.597,            0.023583,           0.0070347,           0.0010899,           0.0048025,           0.0048025,           0.0048025
                 107,             0.03018,           0.0097854,           0.0019996,             0.87129,                   1,               0.995,              0.6965,            0.026469,           0.0065629,           0.0010095,            0.004753,            0.004753,            0.004753
                 108,            0.039753,           0.0099619,           0.0022091,             0.87129,                   1,               0.995,              0.6965,            0.026469,           0.0065629,           0.0010095,           0.0047035,           0.0047035,           0.0047035
                 109,            0.032492,           0.0091941,           0.0019781,             0.88116,                   1,               0.995,             0.80214,            0.019326,           0.0066991,           0.0010702,            0.004654,            0.004654,            0.004654
                 110,            0.036757,           0.0094352,           0.0020774,             0.88116,                   1,               0.995,             0.80214,            0.019326,           0.0066991,           0.0010702,           0.0046045,           0.0046045,           0.0046045
                 111,            0.031374,            0.013313,           0.0020353,             0.89155,                   1,               0.995,               0.796,             0.02672,           0.0062494,            0.001075,            0.004555,            0.004555,            0.004555
                 112,            0.037717,            0.010947,           0.0020721,             0.89155,                   1,               0.995,               0.796,             0.02672,           0.0062494,            0.001075,           0.0045055,           0.0045055,           0.0045055
                 113,            0.027432,           0.0089866,           0.0017909,             0.89058,                   1,               0.995,              0.8955,            0.017043,           0.0068324,           0.0012187,            0.004456,            0.004456,            0.004456
